Reference,;Value,;Footprint,;Datasheet
P1,USB_OTG,Connect:USB_Micro-B_10103594-0001LF,http://www.farnell.com/datasheets/1469075.pdf;;;
F1,F_Small,Fuse_Holders_and_Fuses:Fuse_SMD1206_Reflow,http://www.tme.eu/en/Document/92540abe48b0088862e73e73da7a3377/typ_USI_1206.pdf;;;
P2,CONN_01X02,.pretty:terminal_block_dc_jack_5mm_wide,;;;
P3,CONN_01X02,.pretty:terminal_block_dc_jack_5mm_wide,;;;
P4,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,;;;
U2,INA169,TO_SOT_Packages_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/ina169.pdf;;;
Rl1,16k5,Resistors_SMD:R_0603,;;;
Rs1,0.1R,Resistors_SMD:R_1812,;;;
U3,MPQ4420,.pretty:TSOT32-8,;;;
C10,10uF,Capacitors_SMD:C_0603,;;;
C14,100nF,Capacitors_SMD:C_0603,;;;
R17,1M,Resistors_SMD:R_0603,;;;
R18,100K,Resistors_SMD:R_0603,;;;
C15,100nF,Capacitors_SMD:C_0603,;;;
R20,20R,Resistors_SMD:R_0603,;;;
C17,100nF,Capacitors_SMD:C_0603,;;;
L1,10uH,.pretty:Inductor;SMD;XAL50,;
C19,22pF,Capacitors_SMD:C_0603,;;;
C20,22pF,Capacitors_SMD:C_0603,;;;
R21,51k,Resistors_SMD:R_0603,;;;
R24,41k2,Resistors_SMD:R_0603,;;;
R23,13k,Resistors_SMD:R_0603,;;;
P13,CONN_28BYJ-48,.pretty:28BYJ-48,;;;
P14,CONN_28BYJ-48,.pretty:28BYJ-48,;;;
P15,CONN_28BYJ-48,.pretty:28BYJ-48,;;;
P9,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,;;;
P11,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,;;;
P17,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,;;;
R19,10k,Resistors_SMD:R_0603,;;;
R25,10k,Resistors_SMD:R_0603,;;;
R27,10k,Resistors_SMD:R_0603,;;;
C16,100nF,Capacitors_SMD:C_0603,;;;
C18,100nF,Capacitors_SMD:C_0603,;;;
C21,100nF,Capacitors_SMD:C_0603,;;;
SW2,SW_PUSH,Buttons_Switches_ThroughHole:SW_Tactile_SPST_Angled,www.ck-http://www.farnell.com/datasheets/921681.pdf;;;
SW3,SW_PUSH,Buttons_Switches_ThroughHole:SW_Tactile_SPST_Angled,http://www.farnell.com/datasheets/921681.pdf;;;
R15,100R,Resistors_SMD:R_0603,;;;
R16,100R,Resistors_SMD:R_0603,;;;
C12,100nF,Capacitors_SMD:C_0603,;;;
C13,100nF,Capacitors_SMD:C_0603,;;;
R14,4k7,Resistors_SMD:R_0603,;;;
R13,4k7,Resistors_SMD:R_0603,;;;
P5,Universal_Serial_Connector,.pretty:micromatch,;;;
JP1,Jumper_NC_Small,.pretty:bridgeJumper,;;;
C1,100nF,Capacitors_SMD:C_0603,;;;
C2,100nF,Capacitors_SMD:C_0603,;;;
C3,100nF,Capacitors_SMD:C_0603,;;;
C4,100nF,Capacitors_SMD:C_0603,;;;
C5,100nF,Capacitors_SMD:C_0603,;;;
R3,0R,Resistors_SMD:R_0603,;;;
R4,0R,Resistors_SMD:R_0603,;;;
C6,100nF,Capacitors_SMD:C_0603,;;;
U1,STM32F411RE,.pretty:QFP_64,http://www2.st.com/content/ccc/resource/technical/document/datasheet/b3/a5/46/3b/b4/e5/4c/85/DM00115249.pdf/files/DM00115249.pdf/jcr:content/translations/en.DM00115249.pdf;;;
R2,0R,Resistors_SMD:R_0603,;;;
R1,0R,Resistors_SMD:R_0603,;;;
R5,10k,Resistors_SMD:R_0603,;;;
R7,100k,Resistors_SMD:R_0603,;;;
C7,100nF,Capacitors_SMD:C_0603,;;;
R12,1k,Resistors_SMD:R_0603,;;;
D2,LED_GREEN,LEDs:LED_0603,;;;
D1,LED_RED,LEDs:LED_0603,;;;
P6,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,;;;
C8,20pF,Capacitors_SMD:C_0603,;;;
C9,20pF,Capacitors_SMD:C_0603,;;;
Y1,CRYSTAL_SMD_16MHz,.pretty:SPK5032,https://www.sparkfun.com/datasheets/Components/SPK-5032-16MHZ.pdf;;;
P12,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,;;;
P8,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,;;;
R10,10k,Resistors_SMD:R_0603,;;;
R11,1k,Resistors_SMD:R_0603,;;;
SW1,SW_PUSH,KSEK43J_LFS_TACTILE_SWITCH:KSEK43J_LFS_TACTILE_SWITCH,http://www.farnell.com/datasheets/1839884.pdf;;;
U4,ULN2003V,.pretty:R-PDSO-G16,;;;
U5,ULN2003V,.pretty:R-PDSO-G16,;;;
JP2,Jumper_NC_Small,.pretty:bridgeJumper,;;;
JP3,Jumper_NC_Small,.pretty:bridgeJumper,;;;
JP4,Jumper_NC_Small,.pretty:bridgeJumper,;;;
JP5,Jumper_NC_Small,.pretty:bridgeJumper,;;;
JP6,Jumper_NC_Small,.pretty:bridgeJumper,;;;
P7,RPI_header,Pin_Headers:Pin_Header_Straight_2x13,http://pi4j.com/images/p1header-large.png;;;
JP7,Jumper_NC_Small,.pretty:bridgeJumper,;;;
JP8,Jumper_NC_Small,.pretty:bridgeJumper,;;;
